,Fertility,Meat consumption,Regional indicator
322,4.5,6.5,Sub-Saharan Africa
323,4.5,6.5,Sub-Saharan Africa
324,4.5,6.5,Sub-Saharan Africa
325,4.5,6.5,Sub-Saharan Africa
326,4.5,6.5,Sub-Saharan Africa
327,4.5,6.5,Sub-Saharan Africa
328,4.5,6.5,Sub-Saharan Africa
329,4.5,6.5,Sub-Saharan Africa
330,4.5,6.5,Sub-Saharan Africa
331,4.5,6.5,Sub-Saharan Africa
332,4.5,6.5,Sub-Saharan Africa
333,4.5,6.5,Sub-Saharan Africa
334,4.5,6.5,Sub-Saharan Africa
335,4.5,13.0,Sub-Saharan Africa
336,4.5,13.0,Sub-Saharan Africa
337,4.5,13.0,Sub-Saharan Africa
338,4.5,13.0,Sub-Saharan Africa
339,4.5,13.0,Sub-Saharan Africa
340,4.5,13.0,Sub-Saharan Africa
341,4.5,13.0,Sub-Saharan Africa
342,4.5,13.0,Sub-Saharan Africa
343,4.5,13.0,Sub-Saharan Africa
344,4.5,13.0,Sub-Saharan Africa
345,4.5,13.0,Sub-Saharan Africa
346,4.5,13.0,Sub-Saharan Africa
347,4.5,13.0,Sub-Saharan Africa
348,4.5,13.0,Sub-Saharan Africa
349,4.5,13.0,Sub-Saharan Africa
350,4.5,13.0,Sub-Saharan Africa
351,4.5,13.0,Sub-Saharan Africa
352,4.5,13.0,Sub-Saharan Africa
353,4.5,13.0,Sub-Saharan Africa
354,4.5,13.0,Sub-Saharan Africa
355,4.5,13.0,Sub-Saharan Africa
356,4.5,13.0,Sub-Saharan Africa
357,4.5,13.0,Sub-Saharan Africa
358,4.5,13.0,Sub-Saharan Africa
359,4.5,13.0,Sub-Saharan Africa
360,4.5,13.0,Sub-Saharan Africa
361,4.5,13.0,Sub-Saharan Africa
362,4.5,13.0,Sub-Saharan Africa
363,4.5,13.0,Sub-Saharan Africa
364,4.5,13.0,Sub-Saharan Africa
365,4.5,13.0,Sub-Saharan Africa
366,4.5,13.0,Sub-Saharan Africa
367,4.5,6.5,Sub-Saharan Africa
368,4.5,6.5,Sub-Saharan Africa
369,4.5,6.5,Sub-Saharan Africa
370,4.5,6.5,Sub-Saharan Africa
371,4.5,6.5,Sub-Saharan Africa
372,4.5,6.5,Sub-Saharan Africa
373,4.5,6.5,Sub-Saharan Africa
374,4.5,6.5,Sub-Saharan Africa
375,4.5,6.5,Sub-Saharan Africa
376,4.5,6.5,Sub-Saharan Africa
377,4.5,6.5,Sub-Saharan Africa
378,4.5,6.5,Sub-Saharan Africa
379,4.5,6.5,Sub-Saharan Africa
380,4.5,6.5,Sub-Saharan Africa
381,4.5,6.5,Sub-Saharan Africa
382,4.5,6.5,Sub-Saharan Africa
383,4.5,6.5,Sub-Saharan Africa
384,4.5,6.5,Sub-Saharan Africa
385,4.5,6.5,Sub-Saharan Africa
386,4.5,6.5,Sub-Saharan Africa
387,4.5,6.5,Sub-Saharan Africa
388,4.5,6.5,Sub-Saharan Africa
389,4.5,6.5,Sub-Saharan Africa
390,4.5,6.5,Sub-Saharan Africa
391,4.5,6.5,Sub-Saharan Africa
392,4.5,6.5,Sub-Saharan Africa
393,4.5,6.5,Sub-Saharan Africa
394,4.5,6.5,Sub-Saharan Africa
395,4.5,6.5,Sub-Saharan Africa
396,4.5,6.5,Sub-Saharan Africa
397,4.5,6.5,Sub-Saharan Africa
398,4.5,6.5,Sub-Saharan Africa
399,4.5,13.0,Sub-Saharan Africa
400,4.5,13.0,Sub-Saharan Africa
401,4.5,13.0,Sub-Saharan Africa
402,4.5,13.0,Sub-Saharan Africa
403,4.5,13.0,Sub-Saharan Africa
404,4.5,13.0,Sub-Saharan Africa
405,4.5,13.0,Sub-Saharan Africa
406,4.5,13.0,Sub-Saharan Africa
